PDB ID,Chain ID,Ligand ID,Ligand Image,Ligand MW,Ligand Formula,Ligand Name,Ligand SMILES,InChI,InChI Key
"5R7Y","A","CL","CL","35.45","Cl -1","CHLORIDE ION","[Cl-]","InChI=1S/ClH/h1H/p-1","VEXZGXHMUGYJMC-UHFFFAOYSA-M"
"5R7Y","A","DMS","DMS","78.13","C2 H6 O S","DIMETHYL SULFOXIDE","CS(=O)C","InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N"
"5R7Y","A","JFM","JFM","199.27","C9 H13 N O2 S","N-(2-phenylethyl)methanesulfonamide","CS(=O)(=O)NCCc1ccccc1","InChI=1S/C9H13NO2S/c1-13(11,12)10-8-7-9-5-3-2-4-6-9/h2-6,10H,7-8H2,1H3","JGDDFCYMSLNOGJ-UHFFFAOYSA-N"
"5R7Z","A","CL","CL","35.45","Cl -1","CHLORIDE ION","[Cl-]","InChI=1S/ClH/h1H/p-1","VEXZGXHMUGYJMC-UHFFFAOYSA-M"
"5R7Z","A","DMS","DMS","78.13","C2 H6 O S","DIMETHYL SULFOXIDE","CS(=O)C","InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N"
"5R7Z","A","HWH","HWH","220.24","C12 H13 F N2 O","~{N}-[2-(5-fluoranyl-1~{H}-indol-3-yl)ethyl]ethanamide","CC(=O)NCCc1c[nH]c2c1cc(cc2)F","InChI=1S/C12H13FN2O/c1-8(16)14-5-4-9-7-15-12-3-2-10(13)6-11(9)12/h2-3,6-7,15H,4-5H2,1H3,(H,14,16)","UDLASALUJLTGJV-UHFFFAOYSA-N"
"5R80","A","DMS","DMS","78.13","C2 H6 O S","DIMETHYL SULFOXIDE","CS(=O)C","InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N"
"5R80","A","RZG","RZG","215.23","C8 H9 N O4 S","methyl 4-sulfamoylbenzoate","COC(=O)c1ccc(cc1)S(=O)(=O)N","InChI=1S/C8H9NO4S/c1-13-8(10)6-2-4-7(5-3-6)14(9,11)12/h2-5H,1H3,(H2,9,11,12)","XLOVNJUCAFIANM-UHFFFAOYSA-N"
"5R81","A","DMS","DMS","78.13","C2 H6 O S","DIMETHYL SULFOXIDE","CS(=O)C","InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N"
"5R81","A","RZJ","RZJ","226.29","C10 H14 N2 O2 S","1-methyl-3,4-dihydro-2~{H}-quinoline-7-sulfonamide","CN1CCCc2c1cc(cc2)S(=O)(=O)N","InChI=1S/C10H14N2O2S/c1-12-6-2-3-8-4-5-9(7-10(8)12)15(11,13)14/h4-5,7H,2-3,6H2,1H3,(H2,11,13,14)","OUJFDUTZTPBMDN-UHFFFAOYSA-N"
"5R82","A","DMS","DMS","78.13","C2 H6 O S","DIMETHYL SULFOXIDE","CS(=O)C","InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N"
"5R82","A","RZS","RZS","147.18","C8 H9 N3","6-(ethylamino)pyridine-3-carbonitrile","CCNc1ccc(cn1)C#N","InChI=1S/C8H9N3/c1-2-10-8-4-3-7(5-9)6-11-8/h3-4,6H,2H2,1H3,(H,10,11)","MVJDUNKELBBNKM-UHFFFAOYSA-N"
"5R83","A","CL","CL","35.45","Cl -1","CHLORIDE ION","[Cl-]","InChI=1S/ClH/h1H/p-1","VEXZGXHMUGYJMC-UHFFFAOYSA-M"
"5R83","A","DMS","DMS","78.13","C2 H6 O S","DIMETHYL SULFOXIDE","CS(=O)C","InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N"
"5R83","A","K0G","K0G","213.24","C12 H11 N3 O","N-phenyl-N'-pyridin-3-ylurea","c1ccc(cc1)NC(=O)Nc2cccnc2","InChI=1S/C12H11N3O/c16-12(14-10-5-2-1-3-6-10)15-11-7-4-8-13-9-11/h1-9H,(H2,14,15,16)","WBKYYDBHEGTTON-UHFFFAOYSA-N"
"5R84","A","DMS","DMS","78.13","C2 H6 O S","DIMETHYL SULFOXIDE","CS(=O)C","InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N"
"5R84","A","GWS","GWS","218.29","C13 H18 N2 O","2-cyclohexyl-~{N}-pyridin-3-yl-ethanamide","c1cc(cnc1)NC(=O)CC2CCCCC2","InChI=1S/C13H18N2O/c16-13(9-11-5-2-1-3-6-11)15-12-7-4-8-14-10-12/h4,7-8,10-11H,1-3,5-6,9H2,(H,15,16)","SIURWXONEBYXJD-UHFFFAOYSA-N"
"6LU7","A","","","","","","","",""
"6LU7","C","010","010","108.14","C7 H8 O","phenylmethanol","c1ccc(cc1)CO","InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2","WVDDGKGOMKODPV-UHFFFAOYSA-N"
"6LU7","C","02J","02J","127.10","C5 H5 N O3","5-methyl-1,2-oxazole-3-carboxylic acid","Cc1cc(no1)C(=O)O","InChI=1S/C5H5NO3/c1-3-2-4(5(7)8)6-9-3/h2H,1H3,(H,7,8)","BNMPIJWVMVNSRD-UHFFFAOYSA-N"
"6LU7","C","PJE","PJE","198.22","C9 H14 N2 O3","(E,4S)-4-azanyl-5-[(3S)-2-oxidanylidenepyrrolidin-3-yl]pent-2-enoic acid","C1CNC(=O)[C@@H]1C[C@@H](/C=C/C(=O)O)N","InChI=1S/C9H14N2O3/c10-7(1-2-8(12)13)5-6-3-4-11-9(6)14/h1-2,6-7H,3-5,10H2,(H,11,14)(H,12,13)/b2-1+/t6-,7+/m0/s1","DGQBDXFRBIXHDR-FJZRIBRESA-N"
"6LVN","A","","","","","","","",""
"6LVN","B","","","","","","","",""
"6LVN","C","","","","","","","",""
"6LVN","D","","","","","","","",""
"6LXT","A","PG4","PG4","194.23","C8 H18 O5","TETRAETHYLENE GLYCOL","C(COCCOCCOCCO)O","InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2","UWHCKJMYHZGTIT-UHFFFAOYSA-N"
"6LXT","A","ZN","ZN","65.41","Zn 2","ZINC ION","[Zn+2]","InChI=1S/Zn/q+2","PTFCDOFLOPIGGS-UHFFFAOYSA-N"
"6LXT","B","ZN","ZN","65.41","Zn 2","ZINC ION","[Zn+2]","InChI=1S/Zn/q+2","PTFCDOFLOPIGGS-UHFFFAOYSA-N"
"6LXT","C","","","","","","","",""
"6LXT","D","","","","","","","",""
"6LXT","E","","","","","","","",""
"6LXT","F","ZN","ZN","65.41","Zn 2","ZINC ION","[Zn+2]","InChI=1S/Zn/q+2","PTFCDOFLOPIGGS-UHFFFAOYSA-N"
"6M03","A","","","","","","","",""
"6M17","A","LEU","LEU","131.17","C6 H13 N O2","LEUCINE","CC(C)C[C@@H](C(=O)O)N","InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1","ROHFNLRQFUQHCH-YFKPBYRVSA-N"
"6M17","A","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6M17","B","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6M17","B","ZN","ZN","65.41","Zn 2","ZINC ION","[Zn+2]","InChI=1S/Zn/q+2","PTFCDOFLOPIGGS-UHFFFAOYSA-N"
"6M17","C","LEU","LEU","131.17","C6 H13 N O2","LEUCINE","CC(C)C[C@@H](C(=O)O)N","InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1","ROHFNLRQFUQHCH-YFKPBYRVSA-N"
"6M17","C","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6M17","D","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6M17","D","ZN","ZN","65.41","Zn 2","ZINC ION","[Zn+2]","InChI=1S/Zn/q+2","PTFCDOFLOPIGGS-UHFFFAOYSA-N"
"6M17","E","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6M17","F","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6VSB","A","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6VSB","B","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6VSB","C","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6VW1","A","BMA","BMA","180.16","C6 H12 O6","BETA-D-MANNOSE","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6-/m1/s1","WQZGKKKJIJFFOK-RWOPYEJCSA-N"
"6VW1","A","CL","CL","35.45","Cl -1","CHLORIDE ION","[Cl-]","InChI=1S/ClH/h1H/p-1","VEXZGXHMUGYJMC-UHFFFAOYSA-M"
"6VW1","A","EDO","EDO","62.07","C2 H6 O2","1,2-ETHANEDIOL","C(CO)O","InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2","LYCAIKOWRPUZTN-UHFFFAOYSA-N"
"6VW1","A","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6VW1","A","ZN","ZN","65.41","Zn 2","ZINC ION","[Zn+2]","InChI=1S/Zn/q+2","PTFCDOFLOPIGGS-UHFFFAOYSA-N"
"6VW1","B","BMA","BMA","180.16","C6 H12 O6","BETA-D-MANNOSE","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5+,6-/m1/s1","WQZGKKKJIJFFOK-RWOPYEJCSA-N"
"6VW1","B","CL","CL","35.45","Cl -1","CHLORIDE ION","[Cl-]","InChI=1S/ClH/h1H/p-1","VEXZGXHMUGYJMC-UHFFFAOYSA-M"
"6VW1","B","EDO","EDO","62.07","C2 H6 O2","1,2-ETHANEDIOL","C(CO)O","InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2","LYCAIKOWRPUZTN-UHFFFAOYSA-N"
"6VW1","B","NAG","NAG","221.21","C8 H15 N O6","N-ACETYL-D-GLUCOSAMINE","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1","OVRNDRQMDRJTHS-FMDGEEDCSA-N"
"6VW1","B","ZN","ZN","65.41","Zn 2","ZINC ION","[Zn+2]","InChI=1S/Zn/q+2","PTFCDOFLOPIGGS-UHFFFAOYSA-N"
